FID,name,source,aeroway,lat,lon
95, , ,helipad,30.214234000000001,67.027315299999998
96, , ,helipad,30.214531800000000,67.027430800000005
97, , ,holding_position,26.966696500000001,68.879363499999997
98, , ,holding_position,27.200230300000001,69.152867000000001
99, , ,helipad,28.466713800000001,69.596604400000004
100, , ,helipad,28.467191400000001,69.596909400000001
101, , ,helipad,28.467670300000002,69.597215100000000
102, , ,holding_position,28.273046000000001,68.458615499999993
103, , ,holding_position,28.273334100000000,68.460013000000004
104, , ,holding_position,28.276495499999999,68.456095099999999
105, , ,holding_position,28.276906000000000,68.457419799999997
106, , ,holding_position,28.292097600000002,68.444715000000002
107, , ,holding_position,28.295334700000002,68.444195300000004
108, , ,holding_position,28.295684800000000,68.442199599999995
109, , ,helipad,25.524325000000001,69.770363200000006
110, , ,helipad,25.527593400000001,69.773981000000006
111, , ,helipad,31.910085599999999,70.888366500000004
112, , ,helipad,31.910499800000000,70.888658000000007
113, , ,helipad,27.662408599999999,68.366588800000002
114, , ,helipad,27.662947599999999,68.366490999999996
115, , ,helipad,27.663490800000002,68.366371700000002
116,Bacha Khan Trminal, ,gate,33.988349700000001,71.519757100000007
117,Islamkot International Airport, ,aerodrome,24.846257200000000,70.097292499999995
118, , ,helipad,25.662554499999999,70.615163600000002
119, , ,helipad,25.662704099999999,70.614731399999997
120, , ,helipad,25.662747000000000,70.614548200000002
121,Combined Passenger Terminal, ,terminal,33.557047799999999,72.835355000000007
122, , ,helipad,32.486718199999999,69.462414400000000
123, ,Bing,helipad,24.470096900000001,69.583853800000000
124, , ,helipad,32.460606700000000,69.694359899999995
125, , ,helipad,32.460645000000000,69.694790100000006
126, , ,helipad,32.483006000000003,69.726348900000005
127, , ,helipad,30.573957799999999,66.999920000000003
128, , ,helipad,32.509809799999999,69.794472099999993
129, , ,helipad,32.527135500000000,69.802134300000006
130, , ,helipad,32.693305100000003,69.834000799999998
131, , ,aerodrome,32.701037900000003,69.830737700000000
132, , ,helipad,32.823834699999999,69.975208499999994
133, , ,helipad,32.762795300000001,70.292844500000001
134, , ,helipad,32.552292999999999,71.978835099999998
135, , ,helipad,32.548915299999997,71.942265800000001
