FID,Y,X,Province,School_Nam
127,30.675968295499999,66.891219612100002,Balochistan,GBMIDS New Karbala
128,30.637278439300001,66.940237992299998,Balochistan,GBPS Dori Sulemankhail
129,30.557313310600001,66.961729329700006,Balochistan,GBPS Jalat
130,30.623347551799998,66.926061486300000,Balochistan,GBHS Hakalzai
131,30.655276970399999,66.916131665999998,Balochistan,GBMIDS Daviyan Karbala
132,30.541344505000001,66.963223505000002,Balochistan,GBPS Killi Abdul Wahab
133,30.539964125299999,67.013932557100006,Balochistan,GBPS Killi Shair Khan
134,30.692571648000001,67.039283122699999,Balochistan,GBPS Sur Kali Bagarzai
135,30.754745648400000,67.135848086099998,Balochistan,GBPS Khado Khanzai
136,30.731541339200000,67.156271409100000,Balochistan,GBPS Qillah Askan Khan
137,30.657131671999998,66.989306915100002,Balochistan,GBPS Qillah Nadar Khan
138,30.684377989500000,67.056651283500003,Balochistan,GBPS Band Shakhal Zai
139,30.610960341100000,67.003133303499993,Balochistan,GBMIDS  Pitao  Bayan Zai
140,30.595325941100000,67.027641783199996,Balochistan,GBPS Old Batezai
141,30.579716504499999,67.000307739600004,Balochistan,GBPS Tahmire No Pishin Ward No.3
142,30.584517177900000,67.003175334600002,Balochistan,GBHS Shaheed Sher Mohamad Machan
143,30.751731676399999,67.144941001000007,Balochistan,GGMIDS Bala Khan Zai
144,30.713036306500001,67.082517621700006,Balochistan,GBPS Walham Zar
145,30.713354192000001,67.076142169600004,Balochistan,GBPS Chustian Manzaki
146,30.702975038200002,67.049784110499999,Balochistan,GBPS Sareela  Habibzai Badizai
147,30.604708243800001,67.008463483800000,Balochistan,GBPS Killi Khudainoor
148,30.611128358300000,67.019012854699994,Balochistan,GBPS Killi Noor Muhammad
149,30.708805640800001,67.068382965200001,Balochistan,GBHSS Manzaki
150,30.693192481800001,67.057808089900007,Balochistan,GBPS Sarilah Umarzai
151,30.741489185599999,67.124150642199993,Balochistan,GBPS Mian Khan Zai
152,30.749599681799999,67.146536459800004,Balochistan,GBHS Balah Sarkhan Zai
153,30.721031201300001,67.052622923300007,Balochistan,GBPS Kozh Ismail Zai
154,30.700375132800001,66.992802433500003,Balochistan,GBPS Sufanzai
155,30.708857731999998,67.023081086999994,Balochistan,GBPS Bagar  Zai Syedan
156,30.693547789699998,67.017306265900004,Balochistan,GBHS Balah Yaseen Zai
157,30.693409789499999,67.001296184200001,Balochistan,GBPS Kozh Yaseen Zai
158,30.672231629399999,66.973228723899993,Balochistan,GBMIDS Malezai
159,30.671313794900001,66.965560727799996,Balochistan,GBPS Abdul Haleem Malezai
160,30.679844663000001,67.041955002799995,Balochistan,GBMIDS Killi Walat
161,30.662569705199999,67.027425144700004,Balochistan,GBPS Wat Mekhan Zai
162,30.670631530500000,67.016015929700004,Balochistan,GBPS Surkhab Malezai
163,30.702771847899999,67.064807735200006,Balochistan,GGMIDS Manzaki
164,30.657538219999999,67.045872869999997,Balochistan,GBPS Balah Wari
165,30.662970015599999,67.116258753699995,Balochistan,GBPS Saraj Abad Sheft To Habib
166,30.681750359999999,67.061962930000007,Balochistan,GBPS Khair Abad
167,30.702229299300001,67.087896257899999,Balochistan,GBPS Chaman Manzaki
168,30.705306890300001,67.097527463500001,Balochistan,GBPS Ahkhund Zada Malik Yar
169,30.720989175900002,66.825580994199996,Balochistan,GBPS Abdul Rauf
170,30.693032071699999,67.095981962799996,Balochistan,GBPS Madarsah Malik Yar
171,30.701557587700002,67.107120607499994,Balochistan,GBPS Shaikhal Zai
172,30.698182552100000,67.114229036599994,Balochistan,GBPS Sultan Abad
173,30.692058577499999,67.126579848199995,Balochistan,GBMIDS Kamal Zai
174,30.690346653500001,67.134315700900004,Balochistan,GBPS Haji Zai Kamalzai
175,30.685850034100000,67.129548336300005,Balochistan,GBPS Ali Abad Kamalzai
176,30.706469273700002,67.128849032700003,Balochistan,GBPS Daman Allah Dad
177,30.715949996100001,67.080356508700007,Balochistan,GBMIDS Dab Khanzai
178,30.601905693199999,67.053915271700006,Balochistan,GBPS New Dab Khanzai
179,30.660641777900000,67.173553641200002,Balochistan,GBPS Jagda
180,30.676509266499998,67.101733700500006,Balochistan,GBHS Torey Shah
181,30.658949486099999,67.099187512499995,Balochistan,GBPS New Torey Shah Sheher Ghundi
182,30.645910054600002,67.096985908500002,Balochistan,GBPS Sado Lumar
183,30.644301530800000,67.082322590399997,Balochistan,GBPS Shehar Ghundi  Karim Dad Khan
184,30.648915683900000,67.078822106100006,Balochistan,GBPS Gul Abad
185,30.630594067699999,67.040421934600005,Balochistan,GBHS Nau Abad
186,30.647473996700000,67.053910451299998,Balochistan,GBPS Nasar Abad
187,30.623302618000000,67.038900110599997,Balochistan,GBPS Qillah Batezai
188,30.595276312799999,67.027407203500005,Balochistan,GBPS New Sur Khab
189,30.592786024300000,67.039218845899995,Balochistan,GBPS Haji Abdul Rahim
190,30.590342150100000,67.022469566599995,Balochistan,GBMIDS Grid Colony
191,30.591463861200001,67.023848182799995,Balochistan,GBPS Thar Nawa Bazar Konah
192,30.591454435900001,67.016138524200002,Balochistan,GBPS New Killi College.
193,30.597903088100001,67.022752008400005,Balochistan,GBPS Piran
194,30.542478808900000,67.064021671500001,Balochistan,GBPS Issa Karaiz
195,30.725870787500000,66.987925242599999,Balochistan,GBPS Tor Khan Tangi
196,30.467532051100001,66.920506672399995,Balochistan,GBPS Kata Bagh
197,30.784243900900002,67.104598399099999,Balochistan,GBPS Spin Houd
198,30.725742804100001,66.854868406999998,Balochistan,GBPS Pahar Khan
199,30.728628594000000,66.863406749199996,Balochistan,GBPS Haji Zai Janobi
200,30.770955744700000,67.007075063900004,Balochistan,GBPS Abdul Hamid Akhaizai
201,30.824958187299998,67.027163851300003,Balochistan,GBPS Fazal Muhammad
202,30.732339750500000,67.022484937000002,Balochistan,GBPS Haji Behram Khan
