FID,fclass,name,X,Y
13385,viewpoint,Abdullah House,67.078507799999997,24.922879800000000
13386,police,Central Police Office,74.305967600000002,31.564868000000001
13387,attraction,Laxmi Mansion,74.320246600000004,31.563201400000001
13388,restaurant,New Star Restaurant,68.357094000000004,25.374521699999999
13389,bank,NIB Bank,68.359432799999993,25.374416100000001
13390,hotel,Cafe Khan Hotel,68.360148699999996,25.374680699999999
13391,car_dealership,Car City Motors,68.360118600000007,25.374329500000002
13392,hotel,Insaf Hotel,68.361329200000000,25.374564800000002
13393,monument,Chungi Naka Chowrangi,68.368166299999999,25.371826200000001
13394,fast_food,The Great Food Factory,68.369730200000006,25.370680799999999
13395,bank,Sindh Provisional Co-operative Bank,68.369525600000003,25.369899499999999
13396,fast_food,Burger King,68.378070899999997,25.366075200000001
13397,restaurant,Steak Escape,68.381229500000003,25.364542000000000
13398,restaurant,Pizza & Pasta,68.381231299999996,25.364495800000000
13399,food_court,McDonald's,68.381233899999998,25.364439800000000
13400,food_court,Domino's Pizza,68.381237299999995,25.364375700000000
13401,furniture_shop,Habbit Furniture,68.381024999999994,25.364566000000000
13402,clothes,Khaadi,68.380875799999998,25.364564999999999
13403,clothes,Eden Robe,68.380959799999999,25.364565200000001
13404,food_court,OPTP,68.381240300000002,25.364320700000000
13405,food_court,KFC,68.381243400000002,25.364261200000001
13406,clothes,J.,68.380790300000001,25.364565599999999
13407,cinema,Cinepax,68.380310300000005,25.364577400000002
13408,clothes,Outfitters,68.380541500000007,25.364567200000000
13409,clothes,Warda,68.380637399999998,25.364567200000000
13410,clothes,alkaram Studio,68.380712500000001,25.364566600000000
13411,car_dealership,Toyota Hyderabad Motors,68.381606399999995,25.364513700000000
13412,bank,MCB Bank,68.386010200000001,25.366939100000000
13413,bank,National Bank Of Pakistan,72.041999000000004,34.196540700000000
13414,post_office,TCS,73.059042700000006,33.583969400000001
13415,bank,NBP,68.327625200000000,25.376164700000000
13416,hostel,Dareshani House,68.325753300000002,25.373674300000001
13417,hospital,Gurnani Hospital Maternity Home,68.324232600000002,25.375540099999998
13418,hostel,UET Q Hall,72.824588000000006,33.768618099999998
13419,atm, ,72.814637700000006,33.771318999999998
13420,supermarket,HMC Market,72.813865800000002,33.771272000000003
13421,hotel,Diomand Marriage Hall,74.292199299999993,31.561389500000001
13422,guesthouse,HMC Residential Colony,72.814737899999997,33.772870400000002
13423,guesthouse,Habib Town 85/6-R,73.105207199999995,30.682746600000002
13424,department_store,Mechanical Engineering department,72.826558100000000,33.767312300000000
13425,library,UET Central Library,72.824376099999995,33.767842100000003
13426,school,Govt Girls High School Maneri Bala,72.466501300000004,34.136509799999999
13427,department_store,Civil Engineering Department,72.825123000000005,33.767086399999997
13428,bank,HBL UET Taxila,72.822124400000007,33.767338500000001
13429,hostel,UET Girls hostle,72.827185400000005,33.760981299999997
13430,school,UET Taxila Gate no. 1,72.826750899999993,33.759568299999998
13431,cafe,Paradise Cafe,72.826044300000007,33.768737600000001
13432,hospital,Hospital,73.104206000000005,30.677747499999999
