FID,fclass,name,X,Y
2245,graveyard, ,70.516549554400001,25.493900531300000
2246,water_well, ,70.640084679599994,25.612145386800002
2247,water_well, ,70.587752791900002,25.526751622900001
2248,graveyard, ,70.566621803700002,25.674669037499999
2249,bank,National Bank,71.557689777999997,34.011704619299998
2250,school,"F G Technical High School, Tariq Road Peshawar Cantt",71.549956446600007,34.011129126199997
2251,park, ,70.907984210899997,31.838895140999998
2252,water_tower, ,67.181562678800006,24.943674954599999
2253,park, ,67.182821282999996,24.942069089099999
2254,park,Malir Cantt Park,67.183050046600002,24.933703224199999
2255,park, ,67.178606756299999,24.934670983800000
2256,bank,National Bank of Pakistan (ATM),67.180899217900006,24.933290604400000
2257,supermarket,D Mart,67.181095870999997,24.933061596999998
2258,park,Children's Park,67.184760333300005,24.937650099999999
2259,supermarket,ZAM ZAM,67.204584233700004,24.941944151700000
2260,stadium,Cricket Stadium Kandhkot,69.164673992700003,28.230259047200001
2261,mall,Al Sayyed Tower,71.495256478100004,34.000040260900001
2262,shelter, ,68.952702349999996,27.687007999999999
2263,college,Cadet College Pano Aqil,69.063742254499999,27.758018617099999
2264,school,Government Primary School,68.988855396399998,28.116266721900001
2265,hotel,Tatta pani,73.946651617000001,33.612195740099999
2266,university,Cecos University,71.437602244100006,33.955604512299999
2267,college,"Government College, hayatabad",71.444150559500002,33.955505289800001
2268,college, ,73.405216758099996,33.132579724700001
2269,hospital, ,73.408880183899996,33.132151446400002
2270,track, ,73.149376174599993,33.532120534199997
2271,school,High School Kandhkot,69.182624065900001,28.242429665300001
2272,school,Government Degree College,69.184761045299993,28.243842970999999
2273,school,Bakhtawer Girls School,69.181572808100000,28.243302228699999
2274,school,Al-Huda Public School Kandhot,69.172432232299997,28.246251353200002
2275,police,15 Helpline,69.180504675300000,28.242074437799999
2276,town_hall,Wadhey Shah,69.179069106499995,28.242472524600000
2277,park,City Park Kandhkot,69.176348298799994,28.250084330899998
2278,bank,Bank Al Habib,69.180988397299998,28.243001125999999
2279,school,Universal Science College Kandhkot,69.182023850899995,28.240500420699998
2280,supermarket,Bheri Store,69.181231602799997,28.240670886499998
2281,cinema,Sazina cinema,74.070832464000006,32.579760323599999
2282,cinema,Sanam cinema,74.073180922399999,32.578821379200001
2283,cinema, ,74.072682143999998,32.579581956799998
2284,cinema,Super cinema,74.070653516799993,32.569787167900003
2285,police, ,73.501475720399995,31.127306890700002
2286,graveyard, ,70.252134371899999,25.402957480900000
2287,park,Chinar Park,73.060492253999996,33.647818956599998
2288,graveyard,Noor Bagh Cemetery,67.016550883700006,24.884075896300001
2289,water_well, ,70.748133006700002,24.286189780299999
2290,water_well, ,70.748202782800007,24.275880220600001
2291,water_well, ,70.751861766499999,24.265078052200000
2292,water_well, ,70.750885453300000,24.278769084699999
2293,pitch, ,67.014711777700001,24.898134231499998
2294,pitch, ,67.012422034799997,24.896946465599999
2295,park, ,67.019874712199993,24.899805244300001
2296,monument,شيخ اللله داد  مرقد,71.875722225999993,33.640962519299997
2297,pitch,Cricket Ground,68.845399255499999,27.701802882199999
2298,college,Degree College,68.846557907900007,27.710322628899998
2299,park,Cricket Ground,74.319071278400003,31.519818904600001
2300,park, ,74.318107870099993,31.521336966000000
2301,park,D-Block Park,74.319961185500006,31.521305837400000
2302,park, ,74.324640005099994,31.511642529300001
2303,park, ,74.320928544099999,31.497406879600000
2304,museum,"Archaeology and Anthropology Museum, Shah Abdul Latif University",68.761814549799993,27.492155606800001
2305,park, ,74.320663944399996,31.495030878500000
2306,college,Himayat Islam Khawateen College,74.319278915699996,31.497240299600001
2307,pitch,National Cricket Academy Ground,74.336092948300006,31.512832830099999
