FID,name,aeroway,X,Y
51, ,runway,70.069506500000003,33.907774600000003
52, ,runway,63.021158300000003,25.985395100000002
53, ,taxiway,71.421964799999998,30.215482000000002
54, ,taxiway,71.422308799999996,30.220677700000000
55, ,taxiway,71.418367300000000,30.192746199999998
56, ,taxiway,71.418514200000004,30.194838900000001
57, ,runway,74.402825300000003,31.533928299999999
58, ,runway,74.404308599999993,31.506479200000001
59, ,taxiway,74.401712500000002,31.526776900000002
60, ,taxiway,74.404697600000006,31.527534800000002
61, ,taxiway,74.405313399999997,31.528038899999999
62, ,taxiway,74.404856800000005,31.536148000000001
63, ,taxiway,74.406727599999996,31.524541400000000
64, ,taxiway,74.406716900000006,31.523623400000002
65, ,taxiway,74.406641100000002,31.517451099999999
66, ,taxiway,74.406623900000000,31.516785200000001
67, ,taxiway,74.404478100000006,31.515653199999999
68, ,taxiway,71.419623400000006,30.210642100000001
69, ,taxiway,71.421233200000003,30.210775000000002
70, ,taxiway,71.420057299999996,30.210782500000001
71, ,taxiway,71.421940599999999,30.215138799999998
72, ,runway,68.361667299999993,25.309451299999999
73, ,taxiway,68.364410399999997,25.318943600000001
74, ,runway,74.837672299999994,32.698194899999997
75, ,taxiway,66.932150100000001,24.891274700000000
76, ,taxiway,67.112535100000002,24.874804200000000
77, ,taxiway,67.111075999999997,24.870472700000001
78, ,taxiway,67.110743400000004,24.871932800000000
79, ,runway,67.129336400000000,24.876527100000001
80, ,runway,67.105969000000002,24.871202799999999
81, ,runway,67.107035400000001,24.876470099999999
82, ,runway,76.151989900000004,34.516658900000003
83, ,runway,74.314849699999996,33.373163200000000
84, ,runway,71.795398100000000,35.879162800000003
85, ,runway,70.970360499999998,30.499541600000001
86, ,runway,71.984018800000001,34.082252599999997
87, ,taxiway,71.984469799999999,34.074769699999997
88, ,taxiway,71.957109399999993,34.081257700000002
89, ,taxiway,71.983769600000002,34.082266500000003
90, ,taxiway,71.986719199999996,34.075672699999998
91, ,taxiway,71.985603200000000,34.079679900000002
92, ,taxiway,71.988204699999997,34.075242799999998
93, ,taxiway,71.956711999999996,34.081297300000003
94, ,taxiway,71.956328099999993,34.080417500000003
95, ,taxiway,71.955582300000003,34.081539200000002
96, ,taxiway,71.986867000000004,34.079961500000003
97, ,taxiway,71.977073099999998,34.081078400000003
98, ,taxiway,71.955907800000006,34.081681900000000
